Исполнитель,Название песни,Текст
Король и шут,забытые ботинки,король и шут забытые бутылки по мотивам песни забытые ботинки с огромной признательностью и уважением к гр киш и ни в коем случае не с желанием коголибо оскорбить уставшим путником войду в твою я спальню стакан граненый дам тебе без лишних слов нащупаю я димедрол в своем кармане и пожелаю необычных сладких снов зажгу свечу я но будить тебя не стану лишь под кровать я буду пристально смотреть и этот миг мне силы даст залечит мои раны ведь у тебя всегда там ящик пива есть припев дальний путь зовет меня но никак мне не уйти под кроватью шарю я в надежде чтонибудь найти а в полночь выйду я на лунную дорогу на холод мне идти не хочется до слез тоска оставь меня глупа ты и убога ведь все бухло с собой я все равно унес когда проснешься ты найдешь лишь две бутылки те что случайно я оставил у тебя ты вспомнишь обо мне проматеришься тихо как вовремя ушел пойму сейчас лишь я припев тот же закончится бухло и я вернусь обратно куда деваться денег нету у меня мне быть побитым будет очень неприятно схвачу бутылки и слиняю тут же я лишь отбегу подальше я добычу здесь достану отборный мат услышу за своей спиной у пива странный вкус на этикетку гляну я ж взял о нет о боже мой можете прислать мне на отзывыесли не лень
Король и шут,ведьма и осел,в детстве цыганка мне одна предсказала будто я если сильно полюблю то любимого сгублю что измены не прощу и жестоко отомщу не специально но со зла превращу его в осла он очень милым парнем был но зачем он изменил и тогда все началось предсказание сбылось и внезапно над собой потеряла я контроль и несчастный стал стонать серой шерстью обрастать ведьма я эх ведьма я такая вот нелегкая судьба моя силой я наделена но на беду любовь моя обречена и мой любимый навсегда жить остался у меня и за мною по пятам он ходил и тут и там замечала я порой как страдает милый мой и жалела я осла на лугу его пасла я все хотела какнибудь облик милого вернуть я старалась как могла но ничем не помогла он копытками стучал по ослиному кричал и хвостом своим вертел человеком быть хотел ведьма я эх ведьма я такая вот нелегкая судьба моя силой я наделена но на беду любовь моя обречена лишь понял он что обречен до заката своих дней быть страдающим ослом под опекою моей и в итоге наконец он приблизил свой конец чтото выпил чтото съел и бедняга околел ведьма я эх ведьма я такая вот нелегкая судьба моя силой я наделена но на беду любовь моя обречена ведьма я эх ведьма я такая вот нелегкая судьба моя силой я наделена но на беду любовь моя обречена
Король и шут,в долине болот,возвращаясь домой парень шел по тропе над долиной болот зависала луна и услышал он вдруг чейто крик вдалеке и пошел посмотреть с кем случилась беда и по мягкой земле он аккуратно ступал его коварная топь в себя пыталась втянуть недалеко от себя он старика увидал который крикнул ему сынок не дай утонуть помоги мне парень выбраться помоги мне парень выбраться бедняга рыдал умолял помоги мне парень выбраться помоги мне парень выбраться но парень с улыбкой стоял и на корточки сев с усмешкой парень сказал не буду я тебе дед в твоей беде помогать как человек умирает я вовек не видал и вот вживую хочу я это щас увидать помоги мне парень выбраться помоги мне парень выбраться бедняга рыдал умолял помоги мне парень выбраться помоги мне парень выбраться но парень с улыбкой стоял
Король и шут,король и шут,его вели на эшафот он что есть мочи заорал да помогите мне народ ведь я клянусь не убивал припев эй вы я же хотел добра эй вы за что меня стойте может не надо а стойте невинен я палач затачивал топор несчастный с горя зарыдал за что же ты меня за что ведь я клянусь не убивал припев эй вы я же хотел добра эй вы за что меня стойте может не надо а стойте невинен я и отвечал ему палач мне честно парень жаль тебя я знаю ты не убивал убйца потому что я припев эй вы я же хотел добра эй вы за что меня стойте может не надо а стойте невинен я
Король и шут,воспоминания о былой любви,дремлет за горой мрачный замок мой душу мучает порой царящий в нем покой я своих фантазий страждущий герой а любви моей живой все образы со мной припев я часто вижу страх в смотрящих на меня глазах им суждено уснуть в моих стенах застыть в моих мирах но сердце от любви горит моя душа болит и восковых фигур прекрасен вид покой везде царит я их приводил в свой прекрасный дом их вином поил и развлекались мы потом иногда у них легкий был испуг от прикосновений к нежной шее крепких рук припев вот несет одна мне свои цветы вот стоит другая погруженная в мечты я пытался их до смерти рассмешить но пришлось как в старой сказке просто задушить припев
Король и шут,на краю последняя ария тодда,тодд хватит притворяться живым когда все вокруг мертвы когда все мертвы умерли давно все кого я любил и кем был я любим что ж прощайте с двух сторон сгорела сожжена моя свеча как все потемнело небо и земля прощай ууу здесь я вижу смерть вижу свет как видят след как свет звезды как свет любви которой нет она ушла она зовет меня во мрак уходит боль уходит страх пусть будет так с двух сторон сгорела сожжена моя свеча мне осталось сделать шаг и этот мир прощай ууу здесь я вижу смерть вижу свет как видят след как свет звезды как свет любви которой нет она ушла она зовет меня во мрак остался шаг всего лишь шаг последний шаг
Король и шут,дурак и молния ,грохочет гром сверкает молния в ночи а на холме стоит безумец и кричит сейчас поймаю тебя в сумку и сверкать ты будешь в ней мне так хочется чтоб стала ты моей припев то парень к лесу мчится то к полю то к ручью все поймать стремится молнию весь сельский люд смотреть на это выходил как на холме безумец бегал и чудил он видно в ссоре с головою видно сам себе он враг надо ж выдумать такое во дурак припев то парень к лесу мчится то к полю то к ручью все поймать стремится молнию утром по сельской дороге медленно шел ночной герой весь лохматый и седой и улыбался припев то парень к лесу мчится то к полю то к ручью все поймать стремится молнию
Король и шут,кукла колдуна чартова дюжина,темный мрачный коридор я на цыпочках как вор пробираюсь чуть дыша чтобы не спугнуть тех кто спит уже давно тех кому не все равно в чью я комнату тайком желаю заглянуть чтобы увидеть как бессонница в час ночной меняет нелюдимая облик твой чьих невольница ты идей зачем тебе охотиться на людей крестик на моей груди на него ты погляди что в тебе способен он резко изменить много книжек я читал много фокусов видал свою тайну от меня не пытайся скрыть я это видел как бессонница в час ночной меняет нелюдимая облик твой чьих невольница ты идей зачем тебе охотиться на людей очень жаль что ты тогда мне поверить не смогла в то что новый твой приятель не такой как все ты осталась с ним вдвоем не зная ничего о нем что для всех опасен он наплевать тебе и ты попала к настоящему колдуну он загубил таких как ты не одну словно куклой в час ночной теперь он может управлять тобой все происходит как в страшном сне и находиться здесь опасно мне
Король и шут,блуждают тени,какой таинственной казалась мне та ночь я затушил свечу я стал ждать чего не знаю в тишине вдруг представилось мне блуждают тени возле дома разных сказочных зверей исчезнут и возникнут снова стучатся еле слышно в мою дверь мою дверь я подошел к окну всмотрелся в темноту стекло протер и улыбнулся и в самом деле все что я представлял увидал блуждают тени возле дома разных сказочных зверей исчезнут и возникнут снова стучатся еле слышно в мою дверь мою дверь
Король и шут,ода былой любви,дремлет за горой мрачный замок мой душу мучает порой царящий в нем покой я своих фантазий страждущий герой а любви моей живой все образы со мной я часто вижу страх в смотрящих на меня глазах им суждено уснуть в моих стенах застыть в моих мирах о сердце от любви горит моя душа болит и восковых фигур прекрасен вид покой везде царит я их приводил в свой прекрасный дом их вином поил и развлекались мы потом иногда у них легкий был испуг от прикосновений к нежной шее крепких рук я часто вижу страх в смотрящих на меня глазах им суждено уснуть в моих стенах застыть в моих мирах о сердце от любви горит моя душа болит и восковых фигур прекрасен вид покой везде царит вот несет одна мне свои цветы вот стоит другая погруженная в мечты я пытался их до смерти рассмешить о пришлось как в старой сказке просто задушить я часто вижу страх в смотрящих на меня глазах им суждено уснуть в моих стенах застыть в моих мирах о сердце от любви горит моя душа болит и восковых фигур прекрасен вид покой везде царит
Король и шут,гимн шута,куплет терпеньем я не наделен и мне все лучше да мне все лучше я удивлен я удивлен судьба в которую влюблен дает мне право смеяться даже над королем над королем стать дураком мне здесь пришлось хотя я вижу всех насквозь припев искренне прошу смейтесь надо мной если это вам поможет да я с виду шут но в душе король и никто как я не может куплет эй вы придворная толпа я вас не вижу я вас не слышу я отрешен я отрешен меня готовы как клопа топтать ногами и это значит мой час пришел мой час пришел открою вам один секрет вельмож к несчастью честных нет припев искренне прошу смейтесь надо мной если это вам поможет да я с виду шут но в душе король и никто как я не может куплет я всех высмеивать вокруг имею право и моя слава всегда со мной всегда со мной пускай все чаще угрожают мне расправой но я и в драке хорош собой хорош собой как голова ты горяча не стань трофеем палача припев искренне прошу смейтесь надо мной если это вам поможет да я с виду шут но в душе король и никто как я не может
Король и шут,следи за собой кино ,сегодня комуто говорят до свидания завтра скажут прощай навсегда заалеет сердечная рана завтра ктото вернувшись домой застанет в руинах свои города ктото сорвется с высокого крана следи за собой будь осторожен следи за собой завтра ктото проснувшись в постели поймет что болен неизлечимым ктото выйдя из дома попадет под машину завтра гдето в одной из больниц дрогнет рука молодого хирурга ктото в лесу нарвется на мину ночью над нами пролетел самолет завтра он упадет в океан погибнут все пассажиры завтра гдето кто знает где война эпидемия снежный буран космоса черные дыры
Король и шут,отец и маски  ,один молодой отец в хорошее раннее утро повел своих детей в парк на прогулку увидели они печальный продавец маски продавал в глухом переулке купи отец нам маски дети закричали об этом мы об этом мы всегда мечтали отец полез в карман ведь малышам не мог он отказать маски друзья себе выбирайте алеша теперь кабан ты дима вурдалак саша ты как ведьма в своем рыжем платье вокруг отца плясали радостные дети ах папа ты для нас ты лучше всех на свете отец полез в за маски эти расплатиться но продавец кудато резко испарился но вдруг у малышей голоса преобразились стали они кидаться на папу кусать его за шею валять его в грязи стали у них звериные лапы отец лежал багряной кровью истекая а вурдалак его кусал слегка икая кабан терзал уже безжизненное тело и ведьма рыжая над трупом пролетела купи отец нам маски дети закричали
Король и шут,лесник с концерта видимо,замученный дорогой я выбился из сил и в доме лесника я ночлега попросил с улыбкой добродушной старик меня впустил и жестом дружелюбным на ужин пригласил хэй будь как дома путник я ни в чем не откажу я ни в чем не откажу я ни в чем не откажу хэй множество историй коль желаешь расскажу коль желаешь расскажу коль желаешь расскажу на улице темнело сидел я за столом лесник сидел напротив болтал о том о сем что нет среди животных у старика врагов что нравится ему подкармливать волков хэй будь как дома путник я ни в чем не откажу я ни в чем не откажу я ни в чем не откажу хэй множество историй коль желаешь расскажу коль желаешь расскажу коль желаешь расскажу и волки среди ночи завыли под окном старик заулыбался и вдруг покинул дом но вскоре возвратился с ружьем наперевес друзья хотят покушать пойдем приятель в лес будь как дома путник я ни в чем не откажу я ни в чем не откажу я ни в чем не откажу хэй множество историй коль желаешь расскажу коль желаешь расскажу коль желаешь расскажу
Король и шут,джокер,как же джокер ты хитер ты удачи приговор брошен вызов игрокам главным моим врагам их мечты развеял в прах ты всегда в моих руках суждено тебе и мне главными быть в игре я с сигарой в кзино дорогое пью вино улыбаюсь всем вокруг богач мой друг ваши ставки господа глаз мой радуют всегда разорить вас без труда вновь удастся мне джокер в игре но везенья вышел срок равный мне возник игрок мои мысли он читал все мои тайны знал и в решающий момент джокера со мною нет я разбит повержен в шок да как он мог тот же джокер предал ты меня пистолет хватаю я и палю в колоду карт мой не сдержать азарт лишь я в джокера попал как соперник мой упал между глаз вошел свинец мне и ему конец что я в парня не стрелял всех вокруг я уверял это джокер я кричал со мной играл тот же чахну в камере сырой карта с дыркой предо мною джокер был союзник мой а теперь увы я вне игры их мечты развеял в прах ты всегда в моих руках
Король и шут,долой гопоту,долой фабрикантов и других оккупантов всякие гонения на наши песнопения мечите гранаты в трибуны фанатов гвоздите к заборам проклятых мажоров припев долой гопоту даешь красоту прекрасна земля все панки и хиппи получат свой триппер а все пацифисты получат свой выстрел коричневых надо смешать с голубыми и смесью из гадов полить мостовые припев долой гопоту даешь красоту прекрасна земля дежурят ребята в народных дружинах к сайгону приезжают в служебных машинах покажь документы руками не маши ты сержантские лычки тоже лыком не шиты припев долой гопоту даешь красоту прекрасна земля
Король и шут,дурак и молния,грохочет гром сверкает молния в ночи а на холме стоит безумец и кричит сейчас поймаю тебя в сумку и сверкать ты будешь в ней мне так хочется чтоб стала ты моей то парень к лесу мчится то к полю то к ручью все поймать стремится молнию весь сельский люд смотреть на это выходил как на холме безумец бегал и чудил он видно в ссоре с головою видно сам себе он враг надо ж выдумать такое во дурак то парень к лесу мчится то к полю то к ручью все поймать стремится молнию утром по сельской дороге медленно шел ночной герой весь лохматый и седой и улыбался то парень к лесу мчится то к полю то к ручью все поймать стремится молнию
